verb,agency,power
console,agency_pos,power_equal
constitute,agency_neg,power_theme
construct,agency_pos,power_agent
consult,agency_pos,power_theme
consume,agency_pos,power_agent
contact,agency_pos,power_equal
contain,agency_pos,power_agent
contaminate,agency_equal,power_agent
contemplate,agency_neg,power_equal
contest,agency_pos,power_agent
continue,agency_pos,power_equal
contort,agency_pos,power_agent
contract,agency_pos,power_theme
contradict,agency_pos,power_agent
contrast,agency_pos,power_equal
contribute,agency_pos,power_theme
control,agency_pos,power_agent
convene,agency_pos,power_agent
converge,agency_equal,
converse,agency_pos,
convert,agency_pos,power_agent
convey,agency_pos,power_agent
convict,agency_pos,power_agent
convince,agency_pos,power_agent
convulse,agency_pos,power_agent
cook,agency_pos,power_equal
cool,agency_neg,power_equal
cooperate,agency_equal,
coordinate,agency_pos,power_agent
copy,agency_pos,power_theme
cop,agency_pos,power_agent
corner,agency_pos,power_agent
correct,agency_pos,power_agent
correspond,agency_neg,
corresponds with,agency_equal,power_equal
cost,agency_pos,power_agent
cough,agency_equal,
counter,agency_pos,power_agent
count,agency_pos,power_theme
course,agency_equal,
court,agency_equal,power_equal
cover,agency_pos,power_agent
cower,agency_neg,
crackle,agency_pos,power_agent
crack,agency_pos,power_agent
cradle,agency_pos,power_agent
cram,agency_pos,power_theme
crane,agency_pos,power_equal
crank,agency_pos,power_agent
crash,agency_pos,power_agent
crawl,agency_pos,
creak,agency_equal,
create,agency_pos,power_agent
credit,agency_pos,power_theme
creep,agency_equal,
crest,agency_equal,
cry,agency_equal,nan
cringe,agency_neg,
criticize,agency_pos,power_agent
crop,agency_pos,power_agent
cross,agency_pos,power_agent
crosses out,agency_pos,power_agent
crouch,agency_neg,
crowd,agency_pos,power_agent
crow,agency_pos,
crucify,agency_pos,power_agent
cruise,agency_pos,
crumble,agency_neg,
crumple,agency_pos,
crunch,agency_pos,power_agent
crush,agency_pos,power_agent
cuddle,agency_equal,
cuff,agency_pos,power_agent
cultivate,agency_pos,power_agent
cup,agency_pos,power_agent
cure,agency_pos,power_agent
curl,agency_pos,power_agent
curse,agency_equal,power_agent
curtain,agency_pos,power_equal
curve,agency_neg,
cut,agency_pos,power_agent
dab,agency_pos,power_equal
damage,agency_pos,power_agent
dance,agency_pos,
dangle,agency_pos,power_agent
dare,agency_pos,power_agent
darken,agency_equal,power_equal
dart,agency_pos,
dash,agency_pos,
date,agency_pos,power_equal
dawn,agency_neg,
dazzle,agency_pos,power_agent
deafen,agency_pos,power_agent
deal,agency_pos,power_equal
debate,agency_pos,power_equal
decapitate,agency_pos,power_agent
decay,agency_neg,
decide,agency_pos,power_agent
deck,agency_pos,power_equal
declare,agency_pos,power_equal
decline,agency_pos,power_agent
decorate,agency_pos,power_equal
decrease,agency_pos,power_agent
dedicate,agency_pos,power_equal
deem,agency_pos,power_agent
deepen,agency_pos,power_equal
defeat,agency_pos,power_agent
defend,agency_pos,power_agent
defer,agency_equal,power_theme
defers to,agency_neg,power_theme
defy,agency_pos,power_agent
define,agency_pos,power_equal
deflate,agency_pos,power_agent
deflect,agency_pos,power_agent
delay,agency_pos,power_agent
delight,agency_pos,power_theme
deliver,agency_pos,power_agent
demand,agency_pos,power_agent
demolish,agency_pos,power_agent
demonstrate,agency_pos,power_agent
deny,agency_pos,power_agent
denounce,agency_pos,power_agent
dent,agency_pos,power_agent
depart,agency_pos,power_theme
depend,agency_neg,nan
depends on,agency_neg,power_theme
depict,agency_pos,power_agent
deploy,agency_pos,power_agent
depose,agency_pos,power_agent
deposit,agency_pos,power_agent
depress,agency_equal,power_agent
deprive,agency_pos,power_agent
derive,agency_pos,power_equal
descend,agency_pos,
describe,agency_pos,power_equal
desert,agency_pos,power_agent
deserve,agency_neg,power_equal
designate,agency_pos,power_agent
design,agency_pos,power_agent
desire,agency_neg,power_theme
despise,agency_pos,power_equal
destroy,agency_pos,power_agent
detach,agency_pos,power_agent
detain,agency_pos,power_agent
detect,agency_pos,power_theme
determine,agency_pos,power_agent
deter,agency_pos,power_agent
detonate,agency_pos,power_agent
devastate,agency_pos,power_agent
develop,agency_pos,power_agent
devise,agency_pos,power_agent
devote,agency_pos,power_equal
devour,agency_pos,
diagnose,agency_pos,power_agent
dial,agency_pos,power_agent
dictate,agency_pos,power_agent
die,agency_neg,power_equal
digest,agency_pos,power_agent
dig,agency_pos,power_agent
diminish,agency_pos,power_agent
dim,agency_pos,power_agent
dip,agency_pos,power_agent
direct,agency_pos,power_agent
disagree,agency_pos,
disappear,agency_pos,
disappoint,agency_pos,power_theme
disapproves of,agency_equal,power_agent
disarm,agency_pos,power_agent
disbelieve,agency_pos,power_agent
discard,agency_pos,power_agent
discharge,agency_pos,power_agent
disclose,agency_pos,power_equal
disconnect,agency_pos,power_agent
discourage,agency_pos,power_agent
discover,agency_pos,power_agent
discuss,agency_pos,power_equal
disengage,agency_pos,power_agent
disguise,agency_pos,power_agent
disgust,agency_neg,power_equal
dishevel,agency_pos,power_agent
disintegrate,agency_pos,power_agent
dislodge,agency_pos,power_agent
dismantle,agency_pos,power_agent
dismiss,agency_pos,power_agent
dismount,agency_pos,
disorient,agency_pos,power_agent
dispatch,agency_pos,power_agent
dispense,agency_pos,power_agent
disperse,agency_pos,power_agent
displace,agency_pos,power_agent
display,agency_equal,power_agent
dispose,agency_pos,power_agent
dispute,agency_pos,power_agent
disrupt,agency_pos,power_agent
dissipate,agency_pos,power_agent
dissolve,agency_pos,power_agent
distinguish,agency_pos,power_agent
distort,agency_pos,power_agent
distract,agency_pos,power_agent
distribute,agency_pos,power_agent
disturb,agency_pos,power_equal
ditch,agency_pos,power_agent
divert,agency_pos,power_agent
dive,agency_pos,
divide,agency_pos,power_agent
divorce,agency_pos,power_agent
dock,agency_pos,power_agent
document,agency_pos,power_equal
dodge,agency_pos,power_agent
do,agency_pos,power_agent
dog,agency_equal,power_agent
dominate,agency_pos,power_agent
donate,agency_pos,power_theme
don,agency_pos,power_agent
doom,agency_pos,power_agent
dot,agency_pos,power_agent
double,agency_pos,power_agent
doubt,agency_neg,power_agent
douse,agency_pos,power_agent
down,agency_pos,power_agent
doze,agency_neg,
draft,agency_pos,power_agent
drag,agency_pos,power_agent
drain,agency_pos,power_agent
drape,agency_pos,power_agent
draw,agency_pos,power_agent
dread,agency_neg,power_theme
dream,agency_neg,power_theme
drench,agency_pos,power_agent
dress,agency_pos,power_agent
dribble,agency_pos,power_agent
dry,agency_pos,power_agent
drift,agency_equal,
drill,agency_pos,power_agent
drink,agency_pos,power_agent
drip,agency_pos,power_equal
drive,agency_pos,power_agent
drool,agency_neg,
droop,agency_neg,
drop,agency_pos,power_agent
drown,agency_pos,power_agent
drug,agency_pos,power_agent
drum,agency_pos,
duck,agency_pos,power_theme
dump,agency_pos,power_agent
dust,agency_pos,power_agent
dwarf,agency_neg,power_agent
dwell,agency_equal,power_theme
earn,agency_pos,power_equal
ease,agency_pos,power_equal
eat,agency_pos,power_agent
echo,agency_equal,
edge,agency_pos,power_agent
edit,agency_pos,power_agent
educate,agency_pos,power_agent
eject,agency_pos,power_agent
elaborate,agency_pos,power_theme
elbow,agency_pos,power_agent
elect,agency_pos,power_agent
elevate,agency_pos,power_equal
eliminate,agency_pos,power_agent
emanate,agency_pos,power_agent
embarrass,agency_pos,power_equal
embed,agency_pos,power_equal
emblazon,agency_pos,power_agent
embrace,agency_pos,power_agent
embroider,agency_pos,power_agent
emerge,agency_pos,
emit,agency_pos,power_theme
emphasize,agency_pos,power_agent
employ,agency_pos,power_agent
empty,agency_pos,power_agent
enable,agency_pos,power_agent
enact,agency_pos,power_equal
encase,agency_pos,power_agent
encircle,agency_pos,power_agent
enclose,agency_equal,power_agent
encounter,agency_neg,power_equal
encourage,agency_pos,power_agent
endanger,agency_equal,power_equal
endorse,agency_pos,power_equal
end,agency_pos,power_agent
endure,agency_neg,power_theme
enforce,agency_pos,power_theme
engage,agency_pos,power_agent
engrave,agency_pos,power_agent
engross,agency_pos,power_agent
engulf,agency_pos,power_agent
enhance,agency_pos,power_agent
enjoy,agency_neg,power_theme
enlist,agency_pos,power_agent
enrage,agency_pos,power_agent
enrich,agency_pos,power_agent
ensure,agency_pos,power_agent
enter,agency_pos,power_agent
entertain,agency_pos,power_theme
entitle,agency_equal,power_agent
envelop,agency_pos,power_agent
envy,agency_equal,power_theme
envision,agency_equal,power_agent
equip,agency_pos,power_agent
erase,agency_pos,power_agent
erect,agency_pos,power_agent
erode,agency_pos,power_agent
erupt,agency_pos,
escalate,agency_pos,power_agent
escape,agency_pos,power_equal
escort,agency_pos,power_agent
establish,agency_pos,power_agent
estimate,agency_neg,power_equal
etch,agency_pos,power_agent
evacuate,agency_pos,power_agent
evade,agency_pos,power_theme
evaluate,agency_pos,power_agent
evolve,agency_pos,
exaggerate,agency_pos,power_equal
examine,agency_equal,power_agent
exasperate,agency_pos,power_agent
exceed,agency_pos,power_agent
exchange,agency_pos,power_agent
excite,agency_pos,power_equal
exclude,agency_pos,power_agent
excuse,agency_equal,power_agent
execute,agency_pos,power_agent
exercise,agency_pos,power_agent
exert,agency_pos,power_agent
exhale,agency_pos,power_agent
exhaust,agency_pos,power_agent
exist,agency_neg,
exit,agency_pos,power_equal
expand,agency_pos,power_agent
expect,agency_neg,power_agent
expel,agency_pos,power_agent
experience,agency_neg,power_theme
explain,agency_pos,power_theme
explode,agency_pos,
exploit,agency_pos,power_agent
explore,agency_pos,power_agent
expose,agency_pos,power_agent
express,agency_equal,power_agent
extend,agency_pos,power_agent
extinguish,agency_pos,power_agent
extract,agency_pos,power_agent
eyeball,agency_pos,power_theme
eye,agency_equal,power_agent
face,agency_neg,power_equal
fade,agency_neg,
fail,agency_neg,power_agent
faint,agency_neg,
fake,agency_pos,power_equal
fakes out,agency_pos,power_agent
fall,agency_pos,
falter,agency_neg,
fancy,agency_neg,power_theme
fan,agency_pos,power_theme
fart,agency_neg,
fascinate,agency_neg,power_agent
fashion,agency_pos,power_agent
fasten,agency_pos,power_agent
fast,agency_pos,
favor,agency_pos,power_equal
fear,agency_neg,power_theme
feature,agency_neg,power_agent
feed,agency_pos,power_agent
feel,agency_equal,power_equal
fee,agency_equal,power_agent
feign,agency_pos,power_equal
fence,agency_pos,power_agent
fends off,agency_pos,power_equal
fetch,agency_pos,power_agent
fiddle,agency_equal,
fidget,agency_equal,
fight,agency_pos,power_equal
figure,agency_pos,power_equal
file,agency_pos,power_equal
fill,agency_pos,power_theme
film,agency_pos,power_equal
filter,agency_pos,power_agent
finance,agency_pos,power_agent
find,agency_equal,power_equal
finger,agency_pos,power_agent
finish,agency_pos,power_equal
fire,agency_pos,power_agent
fires at,agency_pos,power_agent
fishes for,agency_pos,power_theme
fishtail,agency_equal,power_agent
fit,agency_pos,power_agent
fixates on,agency_neg,power_theme
fix,agency_pos,power_agent
flag,agency_pos,power_agent
flail,agency_equal,
flame,agency_pos,
flank,agency_pos,power_equal
flap,agency_neg,
flare,agency_pos,
flash,agency_equal,
flatten,agency_pos,power_agent
flee,agency_pos,
flex,agency_pos,power_agent
flicker,agency_equal,
flick,agency_pos,power_agent
fly,agency_pos,
flinch,agency_neg,
fling,agency_pos,power_agent
flip,agency_pos,
flirt,agency_pos,
float,agency_neg,
flood,agency_pos,power_agent
floor,agency_pos,power_equal
flop,agency_pos,
flow,agency_neg,
flush,agency_pos,power_agent
flutter,agency_pos,
focus,agency_pos,
focuses on,agency_equal,power_theme
fold,agency_pos,power_agent
follow,agency_neg,power_theme
fondle,agency_pos,power_agent
fool,agency_pos,power_agent
forbid,agency_pos,power_agent
force,agency_pos,power_agent
forge,agency_pos,power_agent
forget,agency_neg,power_agent
forgive,agency_pos,power_agent
form,agency_pos,power_agent
foster,agency_equal,power_agent
found,agency_pos,power_agent
frame,agency_pos,power_equal
freaks out,agency_equal,
free,agency_pos,power_agent
freeze,agency_pos,power_agent
fry,agency_pos,power_agent
frighten,agency_pos,power_agent
frisk,agency_pos,power_agent
front,agency_pos,power_agent
frown,agency_pos,
frustrate,agency_pos,power_equal
fuel,agency_equal,power_agent
fulfill,agency_pos,power_equal
fulfil,agency_pos,power_theme
fumble,agency_equal,
fume,agency_pos,
function,agency_pos,
furnish,agency_pos,power_agent
furrow,agency_equal,power_agent
fusses over,agency_pos,power_theme
gag,agency_pos,power_agent
gags on,agency_neg,power_agent
gain,agency_pos,power_agent
gallop,agency_pos,
gamble,agency_pos,
gap,agency_pos,power_agent
gasp,agency_equal,
gather,agency_pos,power_agent
gauge,agency_pos,power_equal
gawk,agency_equal,
gaze,agency_equal,
generate,agency_pos,power_agent
gesture,agency_equal,power_agent
get,agency_pos,power_agent
giggle,agency_pos,
give,agency_pos,power_theme
glance,agency_neg,
glare,agency_pos,
glaze,agency_pos,power_agent
gleam,agency_neg,
glide,agency_equal,
glimpse,agency_neg,power_agent
glint,agency_equal,
glisten,agency_neg,
glitter,agency_neg,
glower,agency_equal,
glow,agency_neg,
glue,agency_pos,power_agent
gnaw,agency_pos,power_agent
go,nan,power_equal
gouge,agency_pos,power_agent
govern,agency_pos,power_agent
grab,agency_pos,power_agent
graduate,agency_pos,
grant,agency_pos,power_agent
grapples with,agency_pos,power_equal
grasp,agency_equal,power_agent
graze,agency_pos,power_agent
greet,agency_equal,power_theme
grieve,agency_neg,power_theme
grill,agency_pos,power_agent
grimace,agency_neg,
grind,agency_pos,power_agent
grin,agency_pos,
grip,agency_pos,power_agent
grit,agency_pos,power_agent
groan,agency_pos,
groom,agency_pos,power_agent
grope,agency_pos,power_agent
ground,agency_pos,power_agent
group,agency_pos,power_agent
growl,agency_pos,
grow,agency_pos,nan
grumble,agency_pos,
grunt,agency_pos,
guarantee,agency_pos,power_agent
guard,agency_pos,power_theme
guess,agency_neg,power_equal
guide,agency_pos,power_agent
gulp,agency_pos,power_agent
gush,agency_equal,
gyrate,agency_pos,
hack,agency_pos,power_agent
hail,agency_pos,power_theme
halt,agency_pos,power_agent
hammer,agency_pos,power_agent
hamper,agency_pos,power_agent
handcuff,agency_pos,power_agent
handle,agency_pos,power_agent
hand,agency_pos,power_agent
hang,agency_pos,power_agent
happen,agency_neg,nan
harass,agency_pos,power_agent
harden,agency_pos,power_equal
harm,agency_pos,power_agent
hat,agency_neg,power_theme
haul,agency_pos,power_equal
haunt,agency_neg,power_agent
have,agency_neg,power_agent
head,agency_pos,
heal,agency_pos,power_agent
heap,agency_pos,power_agent
hear,agency_neg,power_theme
heat,agency_pos,power_agent
heave,agency_pos,power_agent
heft,agency_pos,power_agent
heighten,agency_pos,power_agent
help,agency_pos,power_equal
herd,agency_pos,power_agent
hesitate,agency_neg,
hide,agency_pos,power_agent
highlight,agency_pos,power_equal
hike,agency_equal,power_equal
hire,agency_pos,power_agent
hiss,agency_pos,
hitch,agency_pos,power_agent
hit,agency_pos,power_agent
hobble,agency_pos,
hoist,agency_pos,power_equal
hold,agency_pos,power_agent
holler,agency_pos,power_agent
honk,agency_pos,
honor,agency_pos,power_theme
hook,agency_pos,power_agent
hop,agency_pos,
horrify,agency_equal,power_agent
house,agency_pos,power_agent
hover,agency_pos,
howl,agency_pos,
huddle,agency_pos,
huff,agency_pos,
hug,agency_pos,power_agent
humiliate,agency_pos,power_agent
hum,agency_pos,power_agent
hunch,agency_neg,
hunt,agency_pos,power_agent
hurl,agency_pos,power_agent
hurry,agency_pos,power_agent
hurtle,agency_pos,power_agent
hurt,agency_pos,power_agent
hush,agency_pos,power_agent
hustle,agency_pos,power_agent
hyperventilate,agency_equal,power_agent
hypnotize,agency_pos,power_agent
ice,agency_pos,power_agent
identify,agency_pos,power_agent
idle,agency_neg,
ignite,agency_pos,power_agent
ignore,agency_pos,power_agent
illuminate,agency_pos,power_equal
illustrate,agency_pos,power_equal
imagine,agency_equal,power_equal
imitate,agency_equal,power_theme
immerse,agency_pos,power_agent
immobilize,agency_pos,power_agent
impale,agency_pos,power_agent
implement,agency_pos,power_agent
imply,agency_neg,power_agent
implore,agency_pos,power_theme
impose,agency_pos,power_agent
impress,agency_neg,power_equal
improve,agency_pos,power_agent
improvise,agency_pos,
inch,agency_equal,
include,agency_pos,power_agent
incorporate,agency_pos,power_theme
increase,agency_pos,power_agent
indicate,agency_pos,power_equal
induce,agency_pos,power_agent
indulge,agency_equal,power_theme
infect,agency_pos,power_equal
inflict,agency_pos,power_agent
influence,agency_pos,power_agent
inform,agency_pos,power_agent
inhale,agency_equal,power_agent
inherit,agency_neg,power_agent
initiate,agency_pos,power_agent
inject,agency_pos,power_agent
injure,agency_pos,power_agent
insert,agency_pos,power_agent
insist,agency_pos,power_agent
insists on,agency_pos,power_agent
inspect,agency_pos,power_agent
inspire,agency_pos,power_agent
install,agency_pos,power_agent
instal,agency_pos,power_agent
instruct,agency_pos,power_agent
insult,agency_pos,power_agent
insure,agency_pos,power_agent
integrate,agency_pos,power_agent
intend,agency_neg,power_equal
intensify,agency_pos,power_agent
intercept,agency_pos,power_agent
interest,agency_neg,power_theme
interfere,agency_pos,
interpret,agency_pos,power_equal
interrogate,agency_pos,power_agent
interrupt,agency_pos,power_agent
intersect,agency_equal,power_equal
intervene,agency_pos,
interview,agency_pos,power_equal
intimidate,agency_pos,power_agent
intrigue,agency_neg,power_agent
introduce,agency_pos,power_agent
intrude,agency_pos,
invade,agency_pos,power_agent
invent,agency_pos,power_agent
investigate,agency_pos,power_agent
invest,agency_pos,power_agent
invite,agency_equal,power_agent
invoke,agency_pos,power_agent
